Adapted from https://source.android.com/devices/input/keyboard-devices.html#code-tables

HID Usage	HID Usage Name	Linux Key Code (Hex)	Linux Key Code (Dec)	Linux Key Code Name	Used in Thorium	Thorium Code
		0x0000	000	UNKNOWN	No	
0x07 0x0029	Keyboard ESCAPE	0x0001	001	KEY_ESC	Yes	ESC
0x07 0x001e	Keyboard 1 and !	0x0002	002	KEY_1	Yes	1
0x07 0x001f	Keyboard 2 and @	0x0003	003	KEY_2	Yes	2
0x07 0x0020	Keyboard 3 and #	0x0004	004	KEY_3	Yes	3
0x07 0x0021	Keyboard 4 and $	0x0005	005	KEY_4	Yes	4
0x07 0x0022	Keyboard 5 and %	0x0006	006	KEY_5	Yes	5
0x07 0x0023	Keyboard 6 and ^	0x0007	007	KEY_6	Yes	6
0x07 0x0024	Keyboard 7 and &	0x0008	008	KEY_7	Yes	7
0x07 0x0025	Keyboard 8 and *	0x0009	009	KEY_8	Yes	8
0x07 0x0026	Keyboard 9 and (	0x000a	010	KEY_9	Yes	9
0x07 0x0027	Keyboard 0 and )	0x000b	011	KEY_0	Yes	0
0x07 0x002d	Keyboard - and _	0x000c	012	KEY_MINUS	Yes	-
0x07 0x002e	Keyboard = and +	0x000d	013	KEY_EQUAL	Yes	=
0x07 0x002a	Keyboard DELETE (Backspace)	0x000e	014	KEY_BACKSPACE	Yes	DELETE
0x07 0x002b	Keyboard Tab	0x000f	015	KEY_TAB	Yes	TAB
0x07 0x0014	Keyboard q and Q	0x0010	016	KEY_Q	Yes	Q
0x07 0x001a	Keyboard w and W	0x0011	017	KEY_W	Yes	W
0x07 0x0008	Keyboard e and E	0x0012	018	KEY_E	Yes	E
0x07 0x0015	Keyboard r and R	0x0013	019	KEY_R	Yes	R
0x07 0x0017	Keyboard t and T	0x0014	020	KEY_T	Yes	T
0x07 0x001c	Keyboard y and Y	0x0015	021	KEY_Y	Yes	Y
0x07 0x0018	Keyboard u and U	0x0016	022	KEY_U	Yes	U
0x07 0x000c	Keyboard i and I	0x0017	023	KEY_I	Yes	I
0x07 0x0012	Keyboard o and O	0x0018	024	KEY_O	Yes	O
0x07 0x0013	Keyboard p and P	0x0019	025	KEY_P	Yes	P
0x07 0x002f	Keyboard [ and {	0x001a	026	KEY_LEFTBRACE	Yes	[
0x07 0x0030	Keyboard ] and }	0x001b	027	KEY_RIGHTBRACE	Yes	]
0x07 0x0028	Keyboard Return (ENTER)	0x001c	028	KEY_ENTER	Yes	return
0x07 0x00e0	Keyboard Left Control	0x001d	029	KEY_LEFTCTRL	Yes	meta ["control"]
0x07 0x0004	Keyboard a and A	0x001e	030	KEY_A	Yes	A
0x07 0x0016	Keyboard s and S	0x001f	031	KEY_S	Yes	S
0x07 0x0007	Keyboard d and D	0x0020	032	KEY_D	Yes	D
0x07 0x0009	Keyboard f and F	0x0021	033	KEY_F	Yes	F
0x07 0x000a	Keyboard g and G	0x0022	034	KEY_G	Yes	G
0x07 0x000b	Keyboard h and H	0x0023	035	KEY_H	Yes	H
0x07 0x000d	Keyboard j and J	0x0024	036	KEY_J	Yes	J
0x07 0x000e	Keyboard k and K	0x0025	037	KEY_K	Yes	K
0x07 0x000f	Keyboard l and L	0x0026	038	KEY_L	Yes	L
0x07 0x0033	Keyboard ; and :	0x0027	039	KEY_SEMICOLON	Yes	;
0x07 0x0034	Keyboard ' and "	0x0028	040	KEY_APOSTROPHE	Yes	'
0x07 0x0035	Keyboard ` and ~	0x0029	041	KEY_GRAVE	Yes	`
0x07 0x00e1	Keyboard Left Shift	0x002a	042	KEY_LEFTSHIFT	Yes	meta ["shift"]
0x07 0x0031	Keyboard \ and |	0x002b	043	KEY_BACKSLASH	Yes	\
0x07 0x001d	Keyboard z and Z	0x002c	044	KEY_Z	Yes	Z
0x07 0x001b	Keyboard x and X	0x002d	045	KEY_X	Yes	X
0x07 0x0006	Keyboard c and C	0x002e	046	KEY_C	Yes	C
0x07 0x0019	Keyboard v and V	0x002f	047	KEY_V	Yes	V
0x07 0x0005	Keyboard b and B	0x0030	048	KEY_B	Yes	B
0x07 0x0011	Keyboard n and N	0x0031	049	KEY_N	Yes	N
0x07 0x0010	Keyboard m and M	0x0032	050	KEY_M	Yes	M
0x07 0x0036	Keyboard , and <	0x0033	051	KEY_COMMA	Yes	,
0x07 0x0037	Keyboard . and >	0x0034	052	KEY_DOT	Yes	.
0x07 0x0038	Keyboard / and ?	0x0035	053	KEY_SLASH	Yes	/
0x07 0x00e5	Keyboard Right Shift	0x0036	054	KEY_RIGHTSHIFT	Yes	meta ["shift"]
0x07 0x0055	Keypad *	0x0037	055	KEY_KPASTERISK	No	
0x07 0x00e2	Keyboard Left Alt	0x0038	056	KEY_LEFTALT	Yes	meta ["option"]
0x07 0x002c	Keyboard Spacebar	0x0039	057	KEY_SPACE	Yes	SPACE
0x07 0x0039	Keyboard Caps Lock	0x003a	058	KEY_CAPSLOCK	Yes	caps
0x07 0x003a	Keyboard F1	0x003b	059	KEY_F1	Yes	F1
0x07 0x003b	Keyboard F2	0x003c	060	KEY_F2	Yes	F2
0x07 0x003c	Keyboard F3	0x003d	061	KEY_F3	Yes	F3
0x07 0x003d	Keyboard F4	0x003e	062	KEY_F4	Yes	F4
0x07 0x003e	Keyboard F5	0x003f	063	KEY_F5	Yes	F5
0x07 0x003f	Keyboard F6	0x0040	064	KEY_F6	Yes	F6
0x07 0x0040	Keyboard F7	0x0041	065	KEY_F7	Yes	F7
0x07 0x0041	Keyboard F8	0x0042	066	KEY_F8	Yes	F8
0x07 0x0042	Keyboard F9	0x0043	067	KEY_F9	Yes	F9
0x07 0x0043	Keyboard F10	0x0044	068	KEY_F10	Yes	F10
0x07 0x0053	Keyboard Num Lock and Clear	0x0045	069	KEY_NUMLOCK	No	
0x07 0x0047	Keyboard Scroll Lock	0x0046	070	KEY_SCROLLLOCK	No	
0x07 0x005f	Keypad 7 and Home	0x0047	071	KEY_KP7	No	
0x07 0x0060	Keypad 8 and Up Arrow	0x0048	072	KEY_KP8	No	
0x07 0x0061	Keypad 9 and Page Up	0x0049	073	KEY_KP9	No	
0x07 0x0056	Keypad -	0x004a	074	KEY_KPMINUS	No	
0x07 0x005c	Keypad 4 and Left Arrow	0x004b	075	KEY_KP4	No	
0x07 0x005d	Keypad 5	0x004c	076	KEY_KP5	No	
0x07 0x005e	Keypad 6 and Right Arrow	0x004d	077	KEY_KP6	No	
0x07 0x0057	Keypad +	0x004e	078	KEY_KPPLUS	No	
0x07 0x0059	Keypad 1 and End	0x004f	079	KEY_KP1	No	
0x07 0x005a	Keypad 2 and Down Arrow	0x0050	080	KEY_KP2	No	
0x07 0x005b	Keypad 3 and PageDn	0x0051	081	KEY_KP3	No	
0x07 0x0062	Keypad 0 and Insert	0x0052	082	KEY_KP0	No	
0x07 0x0063	Keypad . and Delete	0x0053	083	KEY_KPDOT	No	
		0x0054	084	UNKNOWN	No	
0x07 0x0094	Keyboard LANG5	0x0055	085	KEY_ZENKAKUHANKAKU	No	
0x07 0x0064	Keyboard Non-US \ and |	0x0056	086	KEY_102ND	No	
0x07 0x0044	Keyboard F11	0x0057	087	KEY_F11	Yes	F11
0x07 0x0045	Keyboard F12	0x0058	088	KEY_F12	Yes	F12
0x07 0x0087	Keyboard International1	0x0059	089	KEY_RO	No	
0x07 0x0092	Keyboard LANG3	0x005a	090	KEY_KATAKANA	No	
0x07 0x0093	Keyboard LANG4	0x005b	091	KEY_HIRAGANA	No	
0x07 0x008a	Keyboard International4	0x005c	092	KEY_HENKAN	No	
0x07 0x0088	Keyboard International2	0x005d	093	KEY_KATAKANAHIRAGANA	No	
0x07 0x008b	Keyboard International5	0x005e	094	KEY_MUHENKAN	No	
0x07 0x008c	Keyboard International6	0x005f	095	KEY_KPJPCOMMA	No	
0x07 0x0058	Keypad ENTER	0x0060	096	KEY_KPENTER	No	
0x07 0x00e4	Keyboard Right Control	0x0061	097	KEY_RIGHTCTRL	No	
0x07 0x0054	Keypad /	0x0062	098	KEY_KPSLASH	No	
0x07 0x0046	Keyboard Print Screen	0x0063	099	KEY_SYSRQ	No	
0x07 0x00e6	Keyboard Right Alt	0x0064	100	KEY_RIGHTALT	No	
		0x0065	101	UNKNOWN	No	
0x07 0x004a	Keyboard Home	0x0066	102	KEY_HOME	No	
0x07 0x0052	Keyboard Up Arrow	0x0067	103	KEY_UP	No	
0x07 0x004b	Keyboard Page Up	0x0068	104	KEY_PAGEUP	No	
0x07 0x0050	Keyboard Left Arrow	0x0069	105	KEY_LEFT	No	
0x07 0x004f	Keyboard Right Arrow	0x006a	106	KEY_RIGHT	No	
0x07 0x004d	Keyboard End	0x006b	107	KEY_END	No	
0x07 0x0051	Keyboard Down Arrow	0x006c	108	KEY_DOWN	No	
0x07 0x004e	Keyboard Page Down	0x006d	109	KEY_PAGEDOWN	No	
0x07 0x0049	Keyboard Insert	0x006e	110	KEY_INSERT	No	
0x07 0x004c	Keyboard Delete Forward	0x006f	111	KEY_DELETE	No	
		0x0070	112	UNKNOWN	No	
0x0c 0x00e2	Mute	0x0071	113	KEY_MUTE	No	
0x0c 0x00ea	Volume Decrement	0x0072	114	KEY_VOLUMEDOWN	No	
0x0c 0x00e9	Volume Increment	0x0073	115	KEY_VOLUMEUP	No	
0x07 0x0066	Keyboard Power	0x0074	116	KEY_POWER	No	
0x07 0x0067	Keypad =	0x0075	117	KEY_KPEQUAL	No	
		0x0076	118	UNKNOWN	No	
0x0c 0x00b1	Pause	0x0077	119	KEY_PAUSE	No	
		0x0078	120	UNKNOWN	No	
0x07 0x0085	Keypad Comma	0x0079	121	KEY_KPCOMMA	No	
0x07 0x0090	Keyboard LANG1	0x007a	122	KEY_HANGEUL	No	
0x07 0x0091	Keyboard LANG2	0x007b	123	KEY_HANJA	No	
0x07 0x0089	Keyboard International3	0x007c	124	KEY_YEN	No	
0x07 0x00e3	Keyboard Left GUI	0x007d	125	KEY_LEFTMETA	No	
0x07 0x00e7	Keyboard Right GUI	0x007e	126	KEY_RIGHTMETA	No	
0x07 0x0065	Keyboard Application	0x007f	127	KEY_COMPOSE	No	
0x07 0x0078	Keyboard Stop	0x0080	128	KEY_STOP	No	
0x07 0x0079	Keyboard Again	0x0081	129	KEY_AGAIN	No	
0x07 0x0076	Keyboard Menu	0x0082	130	KEY_PROPS	No	
0x07 0x007a	Keyboard Undo	0x0083	131	KEY_UNDO	No	
0x07 0x0077	Keyboard Select	0x0084	132	KEY_FRONT	No	
0x0c 0x021b	AC Copy	0x0085	133	KEY_COPY	No	
0x0c 0x0202	AC Open	0x0086	134	KEY_OPEN	No	
0x0c 0x021d	AC Paste	0x0087	135	KEY_PASTE	No	
0x0c 0x021f	AC Find	0x0088	136	KEY_FIND	No	
0x0c 0x021c	AC Cut	0x0089	137	KEY_CUT	No	
0x0c 0x0095	Help	0x008a	138	KEY_HELP	No	
0x0c 0x0040	Menu	0x008b	139	KEY_MENU	No	
0x0c 0x0192	AL Calculator	0x008c	140	KEY_CALC	No	
		0x008D	141	UNKNOWN	No	
0x0c 0x0034	Sleep Mode	0x008e	142	KEY_SLEEP	No	
0x01 0x0083	System Wake Up	0x008f	143	KEY_WAKEUP	No	
0x0c 0x0194	AL Local Machine Browser	0x0090	144	KEY_FILE	No	
		0x0091	145	UNKNOWN	No	
		0x0092	146	UNKNOWN	No	
		0x0093	147	UNKNOWN	No	
		0x0094	148	UNKNOWN	No	
		0x0095	149	UNKNOWN	No	
0x0c 0x008a	Media Select WWW	0x0096	150	KEY_WWW	No	
		0x0097	151	UNKNOWN	No	
0x0c 0x019e	AL Terminal Lock / Screensaver	0x0098	152	KEY_COFFEE	No	
		0x0099	153	UNKNOWN	No	
		0x009A	154	UNKNOWN	No	
0x0c 0x018a	AL Email Reader	0x009b	155	KEY_MAIL	No	
0x0c 0x022a	AC Bookmarks	0x009c	156	KEY_BOOKMARKS	No	
		0x009D	157	UNKNOWN	No	
0x0c 0x0224	AC Back	0x009e	158	KEY_BACK	No	
0x0c 0x0225	AC Forward	0x009f	159	KEY_FORWARD	No	
		0x00A0	160	UNKNOWN	No	
0x0c 0x00b8	Eject	0x00a1	161	KEY_EJECTCD	No	
		0x00A2	162	UNKNOWN	No	
0x0c 0x00b5	Scan Next Track	0x00a3	163	KEY_NEXTSONG	No	
0x0c 0x00cd	Play / Pause	0x00a4	164	KEY_PLAYPAUSE	No	
0x0c 0x00b6	Scan Previous Track	0x00a5	165	KEY_PREVIOUSSONG	No	
0x0c 0x00b7	Stop	0x00a6	166	KEY_STOPCD	No	
0x0c 0x00b2	Record	0x00a7	167	KEY_RECORD	No	
0x0c 0x00b4	Rewind	0x00a8	168	KEY_REWIND	No	
0x0c 0x008c	Media Select Telephone	0x00a9	169	KEY_PHONE	No	
		0x00AA	170	UNKNOWN	No	
0x0c 0x0183	AL Consumer Control Config.	0x00ab	171	KEY_CONFIG	No	
0x0c 0x0223	AC Home	0x00ac	172	KEY_HOMEPAGE	No	
0x0c 0x0227	AC Refresh	0x00ad	173	KEY_REFRESH	No	
0x0c 0x0094	Quit	0x00ae	174	KEY_EXIT	No	
		0x00AF	175	UNKNOWN	No	
0x07 0x00f7	Edit	0x00b0	176	KEY_EDIT	No	
0x0c 0x0233	AC Scroll Up	0x00b1	177	KEY_SCROLLUP	No	
0x0c 0x0234	AC Scroll Down	0x00b2	178	KEY_SCROLLDOWN	No	
0x07 0x00b6	Keypad (	0x00b3	179	KEY_KPLEFTPAREN	No	
0x07 0x00b7	Keypad )	0x00b4	180	KEY_KPRIGHTPAREN	No	
0x0c 0x0201	AC New	0x00b5	181	KEY_NEW	No	
0x0c 0x0279	AC Redo / Repeat	0x00b6	182	KEY_REDO	No	
0x07 0x0068	Keyboard F13	0x00b7	183	KEY_F13	No	
0x07 0x0069	Keyboard F14	0x00b8	184	KEY_F14	No	
0x07 0x006a	Keyboard F15	0x00b9	185	KEY_F15	No	
0x07 0x006b	Keyboard F16	0x00ba	186	KEY_F16	No	
0x07 0x006c	Keyboard F17	0x00bb	187	KEY_F17	No	
0x07 0x006d	Keyboard F18	0x00bc	188	KEY_F18	No	
0x07 0x006e	Keyboard F19	0x00bd	189	KEY_F19	No	
0x07 0x006f	Keyboard F20	0x00be	190	KEY_F20	No	
0x07 0x0070	Keyboard F21	0x00bf	191	KEY_F21	No	
0x07 0x0071	Keyboard F22	0x00c0	192	KEY_F22	No	
0x07 0x0072	Keyboard F23	0x00c1	193	KEY_F23	No	
0x07 0x0073	Keyboard F24	0x00c2	194	KEY_F24	No	
		0x00C3	195	UNKNOWN	No	
		0x00C4	196	UNKNOWN	No	
		0x00C5	197	UNKNOWN	No	
		0x00C6	198	UNKNOWN	No	
		0x00C7	199	UNKNOWN	No	
		0x00C8	200	UNKNOWN	No	
		0x00C9	201	UNKNOWN	No	
		0x00CA	202	UNKNOWN	No	
		0x00CB	203	UNKNOWN	No	
		0x00CC	204	UNKNOWN	No	
		0x00CD	205	UNKNOWN	No	
0x0c 0x0203	AC Close	0x00ce	206	KEY_CLOSE	No	
0x0c 0x00b0	Play	0x00cf	207	KEY_PLAY	No	
0x0c 0x00b3	Fast Forward	0x00d0	208	KEY_FASTFORWARD	No	
0x0c 0x00e5	Bass Boost	0x00d1	209	KEY_BASSBOOST	No	
0x0c 0x0208	AC Print	0x00d2	210	KEY_PRINT	No	
		0x00D3	211	UNKNOWN	No	
		0x00D4	212	UNKNOWN	No	
0x0c 0x01b7	AL Audio Browser	0x00d5	213	KEY_SOUND	No	
		0x00D6	214	UNKNOWN	No	
		0x00D7	215	UNKNOWN	No	
0x0c 0x0199	AL Network Chat	0x00d8	216	KEY_CHAT	No	
0x0c 0x0221	AC Search	0x00d9	217	KEY_SEARCH	No	
		0x00DA	218	UNKNOWN	No	
0x0c 0x0191	AL Checkbook / Finance	0x00db	219	KEY_FINANCE	No	
		0x00DC	220	UNKNOWN	No	
		0x00DD	221	UNKNOWN	No	
		0x00DE	222	UNKNOWN	No	
0x0c 0x025f	AC Cancel	0x00df	223	KEY_CANCEL	No	
		0x00E0	224	UNKNOWN	No	
		0x00E1	225	UNKNOWN	No	
0x0c 0x01b6	AL Image Browser	0x00e2	226	KEY_MEDIA	No	
		0x00e3	227	KEY_STAR	No	
		0x00e4	228	KEY_SHARP	No	
		0x00e5	229	KEY_SOFT1	No	
		0x00e6	230	KEY_SOFT2	No	
0x0c 0x028c	AC Send	0x00e7	231	KEY_SEND	No	
0x0c 0x0289	AC Reply	0x00e8	232	KEY_REPLY	No	
0x0c 0x028b	AC Forward Msg	0x00e9	233	KEY_FORWARDMAIL	No	
0x0c 0x0207	AC Save	0x00ea	234	KEY_SAVE	No	
0x0c 0x01a7	AL Documents	0x00eb	235	KEY_DOCUMENTS	No	
		0x00EC	236	UNKNOWN	No	
		0x00ED	237	UNKNOWN	No	
		0x00EE	238	UNKNOWN	No	
		0x00EF	239	UNKNOWN	No	
		0x00F0	240	UNKNOWN	No	
		0x00F1	241	UNKNOWN	No	
		0x00F2	242	UNKNOWN	No	
		0x00F3	243	UNKNOWN	No	
		0x00F4	244	UNKNOWN	No	
		0x00F5	245	UNKNOWN	No	
		0x00F6	246	UNKNOWN	No	
		0x00F7	247	UNKNOWN	No	
		0x00F8	248	UNKNOWN	No	
		0x00F9	249	UNKNOWN	No	
		0x00FA	250	UNKNOWN	No	
		0x00FB	251	UNKNOWN	No	
		0x00FC	252	UNKNOWN	No	
		0x00FD	253	UNKNOWN	No	
		0x00FE	254	UNKNOWN	No	
		0x00FF	255	UNKNOWN	No	
		0x0100	256	UNKNOWN	No	
		0x0101	257	UNKNOWN	No	
		0x0102	258	UNKNOWN	No	
		0x0103	259	UNKNOWN	No	
		0x0104	260	UNKNOWN	No	
		0x0105	261	UNKNOWN	No	
		0x0106	262	UNKNOWN	No	
		0x0107	263	UNKNOWN	No	
		0x0108	264	UNKNOWN	No	
		0x0109	265	UNKNOWN	No	
		0x010A	266	UNKNOWN	No	
		0x010B	267	UNKNOWN	No	
		0x010C	268	UNKNOWN	No	
		0x010D	269	UNKNOWN	No	
		0x010E	270	UNKNOWN	No	
		0x010F	271	UNKNOWN	No	
		0x0110	272	UNKNOWN	No	
		0x0111	273	UNKNOWN	No	
		0x0112	274	UNKNOWN	No	
		0x0113	275	UNKNOWN	No	
		0x0114	276	UNKNOWN	No	
		0x0115	277	UNKNOWN	No	
		0x0116	278	UNKNOWN	No	
		0x0117	279	UNKNOWN	No	
		0x0118	280	UNKNOWN	No	
		0x0119	281	UNKNOWN	No	
		0x011A	282	UNKNOWN	No	
		0x011B	283	UNKNOWN	No	
		0x011C	284	UNKNOWN	No	
		0x011D	285	UNKNOWN	No	
		0x011E	286	UNKNOWN	No	
		0x011F	287	UNKNOWN	No	
		0x0120	288	UNKNOWN	No	
		0x0121	289	UNKNOWN	No	
		0x0122	290	UNKNOWN	No	
		0x0123	291	UNKNOWN	No	
		0x0124	292	UNKNOWN	No	
		0x0125	293	UNKNOWN	No	
		0x0126	294	UNKNOWN	No	
		0x0127	295	UNKNOWN	No	
		0x0128	296	UNKNOWN	No	
		0x0129	297	UNKNOWN	No	
		0x012A	298	UNKNOWN	No	
		0x012B	299	UNKNOWN	No	
		0x012C	300	UNKNOWN	No	
		0x012D	301	UNKNOWN	No	
		0x012E	302	UNKNOWN	No	
		0x012F	303	UNKNOWN	No	
		0x0130	304	UNKNOWN	No	
		0x0131	305	UNKNOWN	No	
		0x0132	306	UNKNOWN	No	
		0x0133	307	UNKNOWN	No	
		0x0134	308	UNKNOWN	No	
		0x0135	309	UNKNOWN	No	
		0x0136	310	UNKNOWN	No	
		0x0137	311	UNKNOWN	No	
		0x0138	312	UNKNOWN	No	
		0x0139	313	UNKNOWN	No	
		0x013A	314	UNKNOWN	No	
		0x013B	315	UNKNOWN	No	
		0x013C	316	UNKNOWN	No	
		0x013D	317	UNKNOWN	No	
		0x013E	318	UNKNOWN	No	
		0x013F	319	UNKNOWN	No	
		0x0140	320	UNKNOWN	No	
		0x0141	321	UNKNOWN	No	
		0x0142	322	UNKNOWN	No	
		0x0143	323	UNKNOWN	No	
		0x0144	324	UNKNOWN	No	
		0x0145	325	UNKNOWN	No	
		0x0146	326	UNKNOWN	No	
		0x0147	327	UNKNOWN	No	
		0x0148	328	UNKNOWN	No	
		0x0149	329	UNKNOWN	No	
		0x014A	330	UNKNOWN	No	
		0x014B	331	UNKNOWN	No	
		0x014C	332	UNKNOWN	No	
		0x014D	333	UNKNOWN	No	
		0x014E	334	UNKNOWN	No	
		0x014F	335	UNKNOWN	No	
		0x0150	336	UNKNOWN	No	
		0x0151	337	UNKNOWN	No	
		0x0152	338	UNKNOWN	No	
		0x0153	339	UNKNOWN	No	
		0x0154	340	UNKNOWN	No	
		0x0155	341	UNKNOWN	No	
		0x0156	342	UNKNOWN	No	
		0x0157	343	UNKNOWN	No	
		0x0158	344	UNKNOWN	No	
		0x0159	345	UNKNOWN	No	
		0x015A	346	UNKNOWN	No	
		0x015B	347	UNKNOWN	No	
		0x015C	348	UNKNOWN	No	
		0x015D	349	UNKNOWN	No	
		0x015E	350	UNKNOWN	No	
		0x015F	351	UNKNOWN	No	
		0x0160	352	UNKNOWN	No	
		0x0161	353	UNKNOWN	No	
0x0c 0x0222	AC Go To	0x0162	354	KEY_GOTO	No	
		0x0163	355	UNKNOWN	No	
		0x0164	356	UNKNOWN	No	
		0x0165	357	UNKNOWN	No	
0x0c 0x01bd	AL OEM Features / Tips Browser	0x0166	358	KEY_INFO	No	
		0x0167	359	UNKNOWN	No	
		0x0168	360	UNKNOWN	No	
		0x0169	361	UNKNOWN	No	
0x0c 0x008d	Media Select Program Guide	0x016a	362	KEY_PROGRAM	No	
		0x016B	363	UNKNOWN	No	
		0x016C	364	UNKNOWN	No	
		0x016D	365	UNKNOWN	No	
0x0c 0x009a	Media Select Home	0x016e	366	KEY_PVR	No	
		0x016F	367	UNKNOWN	No	
		0x0170	368	UNKNOWN	No	
		0x0171	369	UNKNOWN	No	
		0x0172	370	UNKNOWN	No	
		0x0173	371	UNKNOWN	No	
		0x0174	372	UNKNOWN	No	
		0x0175	373	UNKNOWN	No	
		0x0176	374	UNKNOWN	No	
		0x0177	375	UNKNOWN	No	
0x0c 0x0088	Media Select Computer	0x0178	376	KEY_PC	No	
0x0c 0x0089	Media Select TV	0x0179	377	KEY_TV	No	
0x0c 0x0097	Media Select Cable	0x017a	378	KEY_TV2	No	
0x0c 0x0092	Media Select VCR	0x017b	379	KEY_VCR	No	
0x0c 0x00a0	VCR Plus	0x017c	380	KEY_VCR2	No	
0x0c 0x0098	Media Select Satellite	0x017d	381	KEY_SAT	No	
		0x017E	382	UNKNOWN	No	
0x0c 0x0091	Media Select CD	0x017f	383	KEY_CD	No	
0x0c 0x0096	Media Select Tape	0x0180	384	KEY_TAPE	No	
0x0c 0x0045	Menu Right	0x0181	385	KEY_RIGHT	No	
0x0c 0x0093	Media Select Tuner	0x0182	386	KEY_TUNER	No	
		0x0183	387	UNKNOWN	No	
		0x0184	388	UNKNOWN	No	
0x0c 0x008b	Media Select DVD	0x0185	389	KEY_DVD	No	
		0x0186	390	UNKNOWN	No	
		0x0187	391	UNKNOWN	No	
		0x0188	392	UNKNOWN	No	
		0x0189	393	UNKNOWN	No	
		0x018A	394	UNKNOWN	No	
		0x018B	395	UNKNOWN	No	
0x0c 0x0090	Media Select Messages	0x018c	396	KEY_MEMO	No	
0x0c 0x018e	AL Calendar / Schedule	0x018d	397	KEY_CALENDAR	No	
		0x018E	398	UNKNOWN	No	
		0x018F	399	UNKNOWN	No	
		0x0190	400	UNKNOWN	No	
		0x0191	401	UNKNOWN	No	
0x0c 0x009c	Channel Increment	0x0192	402	KEY_CHANNELUP	No	
0x0c 0x009d	Channel Decrement	0x0193	403	KEY_CHANNELDOWN	No	
		0x0194	404	UNKNOWN	No	
0x0c 0x0083	Recall Last	0x0195	405	KEY_LAST	No	
		0x0196	406	UNKNOWN	No	
		0x0197	407	UNKNOWN	No	
		0x0198	408	UNKNOWN	No	
		0x0199	409	UNKNOWN	No	
		0x019A	410	UNKNOWN	No	
		0x019B	411	UNKNOWN	No	
		0x019C	412	UNKNOWN	No	
		0x019D	413	UNKNOWN	No	
		0x019E	414	UNKNOWN	No	
		0x019F	415	UNKNOWN	No	
0x0c 0x008e	Media Select Video Phone	0x01a0	416	KEY_VIDEOPHONE	No	
0x0c 0x008f	Media Select Games	0x01a1	417	KEY_GAMES	No	
0x0c 0x022d	AC Zoom In	0x01a2	418	KEY_ZOOMIN	No	
0x0c 0x022e	AC Zoom Out	0x01a3	419	KEY_ZOOMOUT	No	
0x0c 0x022f	AC Zoom	0x01a4	420	KEY_ZOOMRESET	No	
0x0c 0x0184	AL Word Processor	0x01a5	421	KEY_WORDPROCESSOR	No	
0x0c 0x0185	AL Text Editor	0x01a6	422	KEY_EDITOR	No	
